# <period_end>, <number_of_events>, [period_end <s>, <ns>]
2018-05-23_01:13:19:362902950, 0, [1527037999, 362902950]
# start, period:  1:000000000 ss:ns
2018-05-23_01:13:20:000157240, 178, [1527038000, 157240]
2018-05-23_01:13:21:000100682, 27113, [1527038001, 100682]
2018-05-23_01:13:22:000090647, 48525, [1527038002, 90647]
2018-05-23_01:13:23:000083308, 50410, [1527038003, 83308]
2018-05-23_01:13:24:000093883, 51114, [1527038004, 93883]
2018-05-23_01:13:25:000086122, 53017, [1527038005, 86122]
2018-05-23_01:13:26:000107152, 52745, [1527038006, 107152]
2018-05-23_01:13:27:000102113, 55476, [1527038007, 102113]
2018-05-23_01:13:28:000084524, 53696, [1527038008, 84524]
2018-05-23_01:13:29:000080379, 52929, [1527038009, 80379]
2018-05-23_01:13:30:000081584, 55128, [1527038010, 81584]
2018-05-23_01:13:31:000100036, 56279, [1527038011, 100036]
2018-05-23_01:13:32:000100810, 52387, [1527038012, 100810]
2018-05-23_01:13:33:000102406, 52686, [1527038013, 102406]
2018-05-23_01:13:34:000100948, 57482, [1527038014, 100948]
2018-05-23_01:13:35:000133615, 55735, [1527038015, 133615]
2018-05-23_01:13:36:000094124, 56728, [1527038016, 94124]
2018-05-23_01:13:37:000083267, 55373, [1527038017, 83267]
2018-05-23_01:13:38:000140290, 54066, [1527038018, 140290]
2018-05-23_01:13:39:000129304, 56041, [1527038019, 129304]
2018-05-23_01:13:39:400622358, 20717, [1527038019, 400622358]
# truncated period
# timer shut down
# total count: 1017825
