# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.108:9103,10.140.0.106:9103,65310
10.140.0.129:9103,10.140.0.126:9103,65656
10.140.0.128:9103,10.140.0.103:9103,66165
10.140.0.126:9103,10.140.0.129:9103,67556
10.140.0.106:9103,10.140.0.101:9103,68059
10.140.0.129:9103,10.140.0.106:9103,68787
10.140.0.127:9103,10.140.0.129:9103,69642
10.140.0.122:9103,10.140.0.106:9103,70285
10.140.0.101:9103,10.140.0.127:9103,70339
10.140.0.126:9103,10.140.0.106:9103,71239
10.140.0.102:9103,10.140.0.127:9103,71282
10.140.0.129:9103,10.140.0.127:9103,71297
10.140.0.127:9103,10.140.0.102:9103,71319
10.140.0.129:9103,10.140.0.122:9103,71562
10.140.0.102:9103,10.140.0.122:9103,71671
10.140.0.101:9103,10.140.0.129:9103,72246
10.140.0.126:9103,10.140.0.102:9103,72576
10.140.0.106:9103,10.140.0.126:9103,73048
10.140.0.102:9103,10.140.0.101:9103,73245
10.140.0.101:9103,10.140.0.122:9103,73256
10.140.0.103:9103,10.140.0.118:9103,73496
10.140.0.127:9103,10.140.0.126:9103,73770
10.140.0.106:9103,10.140.0.122:9103,73973
10.140.0.127:9103,10.140.0.122:9103,74175
10.140.0.122:9103,10.140.0.126:9103,74711
10.140.0.108:9103,10.140.0.127:9103,75320
10.140.0.102:9103,10.140.0.129:9103,75370
10.140.0.109:9103,10.140.0.105:9103,75386
10.140.0.127:9103,10.140.0.108:9103,75599
10.140.0.101:9103,10.140.0.108:9103,75691
10.140.0.126:9103,10.140.0.108:9103,76427
10.140.0.101:9103,10.140.0.102:9103,76518
10.140.0.106:9103,10.140.0.127:9103,76602
10.140.0.125:9103,10.140.0.103:9103,76608
10.140.0.108:9103,10.140.0.102:9103,76611
10.140.0.129:9103,10.140.0.108:9103,76701
10.140.0.126:9103,10.140.0.101:9103,77046
10.140.0.106:9103,10.140.0.102:9103,77076
10.140.0.127:9103,10.140.0.101:9103,77214
10.140.0.108:9103,10.140.0.126:9103,77215
10.140.0.102:9103,10.140.0.108:9103,77281
10.140.0.106:9103,10.140.0.129:9103,77814
10.140.0.129:9103,10.140.0.101:9103,77821
10.140.0.126:9103,10.140.0.122:9103,77863
10.140.0.122:9103,10.140.0.129:9103,78041
10.140.0.124:9103,10.140.0.105:9103,78128
10.140.0.106:9103,10.140.0.108:9103,78269
10.140.0.127:9103,10.140.0.106:9103,78279
10.140.0.126:9103,10.140.0.127:9103,78612
10.140.0.103:9103,10.140.0.125:9103,79007
10.140.0.108:9103,10.140.0.101:9103,79269
10.140.0.122:9103,10.140.0.101:9103,79312
10.140.0.122:9103,10.140.0.102:9103,79534
10.140.0.101:9103,10.140.0.106:9103,79559
10.140.0.103:9103,10.140.0.128:9103,79580
10.140.0.108:9103,10.140.0.129:9103,79749
10.140.0.125:9103,10.140.0.117:9103,80084
10.140.0.125:9103,10.140.0.108:9103,80434
10.140.0.122:9103,10.140.0.127:9103,80655
10.140.0.122:9103,10.140.0.108:9103,80878
10.140.0.108:9103,10.140.0.105:9103,81169
10.140.0.123:9103,10.140.0.104:9103,81349
10.140.0.130:9103,10.140.0.104:9103,81729
10.140.0.103:9103,10.140.0.108:9103,81852
10.140.0.105:9103,10.140.0.127:9103,81867
10.140.0.129:9103,10.140.0.105:9103,82098
10.140.0.107:9103,10.140.0.106:9103,82465
10.140.0.101:9103,10.140.0.116:9103,82531
10.140.0.120:9103,10.140.0.102:9103,82548
10.140.0.105:9103,10.140.0.107:9103,82588
10.140.0.114:9103,10.140.0.129:9103,82603
10.140.0.121:9103,10.140.0.127:9103,82616
10.140.0.101:9103,10.140.0.103:9103,82694
10.140.0.120:9103,10.140.0.125:9103,82733
10.140.0.129:9103,10.140.0.103:9103,82783
10.140.0.101:9103,10.140.0.126:9103,82783
10.140.0.105:9103,10.140.0.128:9103,82847
10.140.0.103:9103,10.140.0.102:9103,83173
10.140.0.107:9103,10.140.0.129:9103,83252
10.140.0.107:9103,10.140.0.124:9103,83301
10.140.0.107:9103,10.140.0.109:9103,83314
10.140.0.103:9103,10.140.0.129:9103,83335
10.140.0.104:9103,10.140.0.123:9103,83343
10.140.0.123:9103,10.140.0.130:9103,83483
10.140.0.125:9103,10.140.0.127:9103,83507
10.140.0.129:9103,10.140.0.102:9103,83508
10.140.0.101:9103,10.140.0.125:9103,83536
10.140.0.127:9103,10.140.0.107:9103,83580
10.140.0.128:9103,10.140.0.108:9103,83611
10.140.0.108:9103,10.140.0.107:9103,83788
10.140.0.109:9103,10.140.0.107:9103,84014
10.140.0.127:9103,10.140.0.123:9103,84111
10.140.0.108:9103,10.140.0.122:9103,84205
10.140.0.105:9103,10.140.0.109:9103,84236
10.140.0.102:9103,10.140.0.106:9103,84263
10.140.0.102:9103,10.140.0.126:9103,84372
10.140.0.101:9103,10.140.0.123:9103,84398
10.140.0.122:9103,10.140.0.109:9103,84429
10.140.0.123:9103,10.140.0.108:9103,84658
10.140.0.109:9103,10.140.0.124:9103,84660
10.140.0.108:9103,10.140.0.103:9103,84720
10.140.0.106:9103,10.140.0.109:9103,84722
10.140.0.121:9103,10.140.0.126:9103,84772
10.140.0.128:9103,10.140.0.125:9103,84924
10.140.0.104:9103,10.140.0.126:9103,84924
10.140.0.125:9103,10.140.0.126:9103,84976
10.140.0.103:9103,10.140.0.101:9103,85027
10.140.0.129:9103,10.140.0.107:9103,85062
10.140.0.106:9103,10.140.0.103:9103,85095
10.140.0.102:9103,10.140.0.121:9103,85177
10.140.0.108:9103,10.140.0.123:9103,85207
10.140.0.121:9103,10.140.0.108:9103,85287
10.140.0.123:9103,10.140.0.121:9103,85297
10.140.0.122:9103,10.140.0.125:9103,85400
10.140.0.130:9103,10.140.0.101:9103,85411
10.140.0.121:9103,10.140.0.101:9103,85425
10.140.0.123:9103,10.140.0.126:9103,85492
10.140.0.105:9103,10.140.0.126:9103,85514
10.140.0.128:9103,10.140.0.122:9103,85514
10.140.0.130:9103,10.140.0.115:9103,85530
10.140.0.113:9103,10.140.0.121:9103,85533
10.140.0.105:9103,10.140.0.106:9103,85670
10.140.0.105:9103,10.140.0.129:9103,85688
